BORCLAR.md = 31911 b, 339 satir
==============================================================================
  405 b | satir  24- 27 | acik       | - 🔴 **`SenkronDongusu.durdur()` YOK ve üretimde yaşam-döngüsü kancası da yok [oturum 49].**
  739 b | satir  67- 74 | acik       | - 🔴 **ÇAĞRILMAYAN KAPI SINIFI [ÖLÇÜLDÜ, oturum 39 — YENİ SINIF].** `sayi-tazeligi.py` bir kapıydı, altın kümesi
  320 b | satir  77- 80 | KAPANIS-IZI | - 🟢 **KAPANDI — `spec-kapi-kapsama.py`'nin KURAL YARISI ARTIK ÇALIŞIYOR [`K124`, oturum 51].**
  348 b | satir  81- 83 | acik       | - 🟡 **`_start_api.cmd` `ASPNETCORE_ENVIRONMENT` borcu ÖLÇÜLEMEDİ [oturum 48'de DENENDİ].** Aynı depoda
  362 b | satir  84- 86 | acik       | - 🔴 **`verify.ps1` GEÇMİŞ KANITI EZİYOR [K111 — ölçüldü, iki kez].** `MOMENTUM_KANIT_DIZIN` varsayılanı yüzünden her
  366 b | satir  87- 89 | KAPANIS-IZI | - 🔴 **`.gitignore` KANITI SESSİZCE YUTUYOR — SINIF AÇIK [K111].** `*.log` (satır 93) 7 ham verify kaydını staged
  293 b | satir  90- 90 | acik       | - 🔴 **`verify.ps1` FAIL-LOUD AYAĞINI OTOMATİK ZİNCİRDE ETKİSİZ KILIYOR.** `if (-not $env:MOMENTUM_KANIT_DIZIN) { … }` varsayılan atıp dizini yaratıyor
  258 b | satir  91- 93 | KAPANIS-IZI | - 🟡 **D1-ÖNLEME BORCU — KISMEN KAPANDI [K82].** `oturum-sagligi.py` bayat kimliği artık **yakalar**
  322 b | satir  94- 96 | acik       | - 🔴 **DEVİR NOTU KENDİ KABININ KİMLİĞİNİ YAZMAMALI [K82, ölçüldü].** Not `PROJE_HAFIZA.md 684.530 b`
  220 b | satir  97- 98 | acik       | - 🟡 **`oturum-sagligi.py` `tek-kopya-kapisi.py` kapsamına EKLENMEDİ** — eklemek kapının kilitli sha'sını
  420 b | satir  99-102 | acik       | - 🟡 **`oturum-sagligi.py` §3'ü GÖRMÜYOR [ölçüldü, oturum 38].** `D1` yalnız ÜÇ hücreli kimlik tablosunu
  199 b | satir 103-104 | acik       | - 🔴 **`pub-surum-olc.py`'ye ÇÖZÜMLENEBİLİRLİK AYAĞI [Z10b]** — araç **sürümü** ölçüyor,
  211 b | satir 105-105 | acik       | - 🟡 **`radar.py` R5'in CÜMLESİ KAPSAMINI AŞIYOR** — artefaktın kaydını okur ama *"**projenin** görünen çıktısı %0"* der. Kusur **metinde**; onarım üst
  194 b | satir 106-106 | acik       | - 🟡 **`radar --olc-urun-kodu` ÇALIŞMA AĞACINI GÖRMEZ** — yalnız commit'lenmiş farkı sayar ⇒ R8 yanlış-pozitif olabilir; R8 yandığında **önce çalışma a
  561 b | satir 107-111 | acik       | - 🟡 **`sayi-tazeligi.py` İMZA↔SAYI YAKINLIĞI ÖLÇÜLMÜYOR** [**4 kez** tetikledi]. 🔴 Sonuncusu (oturum 51)
  109 b | satir 112-113 | acik       | - **`radar.config.json` YOK ve bu bir KARAR**; eşik değiştiren K40 gereği **altın kümeye vaka ekler.**
 1089 b | satir 114-122 | acik       | - 🔴 **`belge-tavan-kapisi.py`'NİN ALTIN KÜMESİ KAPSAM LİSTESİNİ KANITLAMIYOR [ÖLÇÜLDÜ, oturum 39].**
  714 b | satir 123-129 | acik       | - 🟡 **`BORCLAR.md` `tek-kopya-kapisi.py` KAPSAMINDA DEĞİL [oturum 39].** Yeni bir **canlı** belge doğdu ve
  511 b | satir 130-134 | acik       | - 🔴 **`design-token-kapisi.py` AÇILIŞ PROTOKOLÜNDE ÇAĞRILMIYOR — "ÇAĞRILMAYAN KAPI" SINIFI
  440 b | satir 135-138 | KAPANIS-IZI | - 🔴 **İKİ ÖLÇÜM GERİLEMESİ — AYNI TURDA KAPANDI, SINIF AÇIK [K89-DÜZELTME, oturum 42].**
  243 b | satir 139-141 | acik       | - 🟡 **`oturum-sagligi.py` KAPSAMINI BEYAN ETMİYOR [K86].** `--transcript` ne verilirse ölçer,
  394 b | satir 142-146 | acik       | - 🔴 **SPEC MUTANT TABLOSU, MUTANTI ISIRTACAK AYAĞIN ARİTMETİĞİNİ YAPMAMIŞTI [K86].**
  164 b | satir 149-150 | acik       | - **`DESIGN.md` BD‑1…BD‑7** — **K46 gereği kapatılmadı**; liste spec §10'da. BD‑6'nın bayat sayısı
  242 b | satir 151-153 | acik       | - 🔴 **Defter dürüstlük kusurları** — `D3`: `docs/ADR/0003` tur 8 kaydının zorunlu alanları eksik ·
  135 b | satir 154-155 | acik       | - 🟡 **`D1` bu defterde KÖR** — artefakt adları çoğunlukla **etiket**, yol değil. Yeni kayıtlara
  159 b | satir 156-157 | acik       | - 🟡 **`KANIT/slice-3b/04-G3/gercek-tarama.txt` 1,9 MB** ve **`KANIT/slice-3e-iskelet/pub-lisans-kapisi.txt` 2 MB** — portfolyo yükü; kesit+sha yeterdi
  272 b | satir 158-158 | acik       | - 🔴 **DEFTERDE `D2` BOŞLUĞU BİLEREK AÇIK [oturum 37].** `uzak_degisiklik_uygulayici.dart` tur 1 ve 3 taşıyor, **tur 2 YOK**. Geriye dönük kayıt uydurm
  340 b | satir 159-160 | acik       | - 🟡 **`_start_api.cmd` `ASPNETCORE_ENVIRONMENT` SET ETMİYOR [oturum 37, ÖLÇÜLMEDİ].** Aksi hâlde `NullCurrentUser` ⇒ **401** (K61). `dotnet run --no-l
  477 b | satir 161-161 | acik       | - 🔴 **RADAR YAPISAL OLARAK KALICI KIRMIZI [ölçüldü, oturum 38].** `radar.py`'de defter kaydını **park/kapatma mekanizması YOK** ⇒ `docs/ADR/0003` (9 t
  338 b | satir 162-163 | acik       | - 🟡 **`iddia-kapisi.py` HAYALET KANIT SINIFI İKİNCİ KEZ ISIRDI [K78].** `KANIT/slice-3e-iskelet`'te tabloda **sıfır** mutant varken **altı** hayalet b
  128 b | satir 166-166 | acik       | - 🟡 **CI'da .NET 10 [DOĞRULANMADI] [K111].** Geçiş tek makinede ölçüldü; CI'da SDK 10.0.302 + `verify` hiç koşmadı.
  436 b | satir 167-167 | acik       | - **Kriter 9'un kapsamı ve beyan ettiği sınırlar:** web ayağı (`--platform chrome` sonuç üretmiyor) · iOS (Mac yok, CI-only) · boşaltma tavanı 20'nin 
  147 b | satir 168-169 | acik       | - **Eski açık 5:** flutter_secure_storage Windows · WebKit `__Host-` · Isopoh lisansı ·
  140 b | satir 170-171 | acik       | - **`pub.dev` uçları** dokümantasyonsuz/garantisiz — kalkan: fixture altın kümeleri. · **Kontrast
  102 b | satir 172-175 | acik       | - **Geçici artıklar (repo DIŞINDA, silme Onur'da):** `%TEMP%\_cw_*` · `C:\dev\_cowork_tmp\`.
  825 b | satir 176-186 | acik       | ## B-O50-1 — `main.dart:149` SİNYAL DİNLEYİCİSİNİ ÖLÇEN KAPI YOK (oturum 50, ölçüldü)
  860 b | satir 187-197 | acik       | ## B-O50-2 — `sayi-tazeligi.py` SÜRÜM ETİKETİNİ ÖLÇMÜYOR (oturum 50, ölçüldü)
  933 b | satir 198-209 | acik       | ## B-O50-3 — `radar.py` `D2`'NİN `olcum-duzeltme` ÖNERİSİ ÖLÜ (oturum 50, ölçüldü)
 2158 b | satir 210-232 | acik       | ## B-O51-1 — `spec-kapi-kapsama.py`'nin `S2`'si DOLAYLI kapı-ayak→kural eşlemesini GÖRMÜYOR (oturum 51, ölçüldü)
  945 b | satir 233-243 | acik       | ### `B-O52-1` — K81 BİÇİM STANDARDI YARIM: **MUTANT TABLOSUNUN SÜTUN SIRASI YAZILI DEĞİL**
 1001 b | satir 244-257 | acik       | ### `B-O52-2` — `K127`'NİN MEKANİK KAPISI YOK (kural prozada yaşıyor)
  465 b | satir 258-264 | acik       | ## OTURUM 53 — `A13` KABULÜNÜN AÇTIĞI BEŞ BORÇ (K129/K130)
  646 b | satir 265-272 | acik       | - 🔴 **`B-O53-1` — `A13/G29/b` KÖR AYAK.** `Xcode build done.` tam dizgesi `main` (ios **success**,
  707 b | satir 273-280 | acik       | - 🔴 **`B-O53-2` — MUTANTSIZ AYAKLAR: `G27/a` · `G27/c` · `G30/b`.** Üçü de ölçüldü ama hiçbirinin
  854 b | satir 281-290 | acik       | - 🔴 **`B-O53-3` — KRİTER 7'NİN DİNAMİK AYAKLARININ KORUNMUŞ ARACI YOK (K44-a ihlali).**
  618 b | satir 291-298 | acik       | - 🟡 **`B-O53-4` — `G28/d`'nin `N/N` BİÇİMİ LOGDA LAFZEN YOK.** Spec `N/N geçti` istiyor; CI
  623 b | satir 299-306 | acik       | - 🟡 **`B-O53-5` — AKSİYONLAR SHA'YA PİNLİ DEĞİL.** `actions/checkout@v4` ve
  315 b | satir 308-310 | KAPANIS-IZI | - 🟢 **`A13` §9/5 KAPANDI** — `workflow` token yetkisi ölçüldü (push **GCM** token'ını kullanıyor,
  107 b | satir 311-311 | KAPANIS-IZI | - 🟢 **`A13` §9/10 KAPANDI** — `ci-kapisi.py` yazıldı, altın küme **13/13** (iki ayrı el koştu).
  196 b | satir 312-313 | KAPANIS-IZI | - 🟡 **`A13` §9/4 KISMEN KAPANDI** — Timing API: dört koşumun da **billable MACOS 0 ms /
  299 b | satir 314-317 | acik       | - 🔴 **`B-O52-2` (K127'nin mekanik kapısı yok) HÂLÂ AÇIK — ama bu turda K127 kapısız hâliyle
   71 b | satir 318-319 | acik       | ### OTURUM 55'TE AÇILAN — `SS2` v3 KİLİDİNİN BORÇLARI (`K133`)
  742 b | satir 320-328 | acik       | - 🔴 **`B-SS2-1` · `B-SS2-2` · `B-SS2-3` — SPEC'İN KENDİ §8'İNDE TAM METİNLE YAZILIDIR.**
  963 b | satir 329-339 | acik       | - 🔴 **`B-SS2-4` — `spec-kapi-kapsama.py` *"MUTANT ISIRIR MI"* DİYE SORMUYOR.** Araç *"mutant VAR
==============================================================================
BLOK SAYISI (>=60 b) = 70
